 # Generating QMCPACK input from PYSCF checkpoint file.
 # git sha1: cd196fa67a7c3213761ba0c242586d676be31d55-dirty
 # Date/Time: Sun May  5 15:40:08 2019
 # Working directory: /p/lustre2/malone14/qmcpack_workshop_2019/day1_afqmc/06-diamond_2x2x2_supercell
 # Generating Hamiltonian and wavefunction from pyscf cell object.
 # Time to reach cholesky: 5.00e-02 s
 # Each kpoint is distributed accross 1 mpi tasks.
 # Approx. total memory required: 1.91e+00 GB.
 # Generating orbital products.
 # Time to generate orbital products: 1.29e+02 s
 # Time to generate diagonal (initial residual): 1.10e+00
        iteration      max_residual        total_time         time_k3k4   time_comp_cholv         time_buff
              143  2.1068659950e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              144  2.0989657366e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              145  2.0764165738e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              146  2.0360525217e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              147  2.0289492547e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              148  1.9971352877e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              149  1.9639084197e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              150  1.9399209672e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              151  1.9223986435e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
              152  1.9181781992e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              153  1.9082741040e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              154  1.8709121646e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              155  1.8660240516e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              156  1.8375177260e-02  4.0000000000e-02  0.0000000000e+00  3.0000000000e-02  1.0000000000e-02
              157  1.8138574971e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              158  1.8105931630e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              159  1.7980821198e-02  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
              160  1.7466197933e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              161  1.7383658696e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              162  1.7292368051e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              163  1.7216810046e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              164  1.7045188215e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              165  1.6836518281e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              166  1.6836385207e-02  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
              167  1.6179517679e-02  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
              168  1.6133446271e-02  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
              169  1.5234991930e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              170  1.4173654848e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              171  1.3999487608e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              172  1.2663129403e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              173  1.2565091349e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              174  1.2534854588e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              175  1.2467199243e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              176  1.2457171316e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              177  1.2312687238e-02  2.0000000000e-02  0.0000000000e+00  1.0000000000e-02  1.0000000000e-02
              178  1.2238713817e-02  4.0000000000e-02  0.0000000000e+00  3.0000000000e-02  1.0000000000e-02
              179  1.2201342877e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              180  1.1936409361e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              181  1.1749062735e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              182  1.1642741657e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              183  1.1601958998e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              184  1.1430858355e-02  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              185  1.1422494901e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              186  1.0733892812e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              187  1.0717882703e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              188  1.0334894180e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              189  1.0192615162e-02  6.0000000000e-02  0.0000000000e+00  5.0000000000e-02  1.0000000000e-02
              190  1.0162900441e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              191  1.0011214444e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              192  9.9859478838e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              193  9.9543454644e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              194  9.8726464317e-03  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              195  9.8575910645e-03  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              196  9.5869810257e-03  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
              197  9.2537728420e-03  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              198  9.0491252935e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              199  9.0294288246e-03  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              200  8.9083744875e-03  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              201  8.7626063947e-03  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              202  8.5743122589e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              203  8.4422425261e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              204  7.8743846927e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              205  7.8729300632e-03  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              206  7.6988192357e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              207  7.6759120388e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              208  7.6669384340e-03  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              209  7.3242849778e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              210  7.2587239130e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              211  7.2464635326e-03  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              212  7.1784602586e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              213  7.0362407922e-03  7.0000000000e-02  2.0000000000e-02  5.0000000000e-02  0.0000000000e+00
              214  6.7231386305e-03  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              215  6.5148962755e-03  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
              216  6.3564082100e-03  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              217  6.2646553623e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              218  6.1137896466e-03  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
              219  6.0012716021e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              220  5.9728322530e-03  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
              221  5.9597936051e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              222  5.9514845690e-03  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              223  5.9397725678e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              224  5.4695095396e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              225  5.3417541561e-03  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              226  5.3417134685e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              227  5.2750645661e-03  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              228  5.2734235714e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              229  5.2072309985e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              230  5.1240851520e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              231  5.0701978068e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              232  4.9211046175e-03  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              233  4.9200014098e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              234  4.8624750174e-03  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              235  4.5915902871e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              236  4.5492560419e-03  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              237  4.4903353262e-03  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              238  4.4655438331e-03  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
