converged SCF energy = -108.606225806527
 # Transforming hcore and eri to ortho AO basis.
 # Performing modified Cholesky decomposition on ERI tensor.
 # Generating Cholesky decomposition of ERIs.
 # max number of cholesky vectors = 280
        iteration      max_residual              time
              128  3.7060521413e-04  1.0080337524e-03
              129  2.8625241646e-04  1.0051727295e-03
              130  2.8388382623e-04  1.0201931000e-03
              131  2.5247431226e-04  9.6583366394e-04
              132  1.9265563278e-04  9.6511840820e-04
              133  1.8258341523e-04  9.7107887268e-04
              134  8.4420486354e-05  9.5915794373e-04
              135  8.4420486354e-05  9.6487998962e-04
              136  8.3893571392e-05  9.7417831421e-04
              137  8.3893571392e-05  9.6011161804e-04
              138  8.1144319422e-05  9.4795227051e-04
              139  7.8362122368e-05  1.0049343109e-03
              140  7.8362122368e-05  1.0130405426e-03
              141  7.5331767718e-05  9.5415115356e-04
              142  7.0922388027e-05  9.7513198853e-04
              143  7.0922388027e-05  9.6392631531e-04
              144  6.9181813026e-05  9.5915794373e-04
              145  6.9181813026e-05  9.6678733826e-04
              146  5.8577387302e-05  9.9015235901e-04
              147  5.8465426846e-05  9.9587440491e-04
              148  4.4584409634e-05  9.8299980164e-04
              149  3.2503157128e-05  9.9110603333e-04
              150  3.2503157128e-05  9.7894668579e-04
              151  3.1090501570e-05  9.8609924316e-04
              152  3.1082931409e-05  9.6392631531e-04
              153  3.0339668872e-05  9.6607208252e-04
              154  3.0339668872e-05  9.7084045410e-04
              155  2.5587294602e-05  1.0030269623e-03
              156  2.5587294602e-05  1.0049343109e-03
              157  2.5087629782e-05  9.8896026611e-04
              158  2.2044191567e-05  9.8609924316e-04
              159  2.2044191567e-05  9.7990036011e-04
              160  2.0566762328e-05  9.9706649780e-04
              161  2.0371066859e-05  1.0120868683e-03
              162  2.0371066859e-05  1.0180473328e-03
              163  1.8257700380e-05  1.0011196136e-03
              164  1.2806405465e-05  9.8395347595e-04
              165  1.2724695484e-05  9.9802017212e-04
              166  1.2385677366e-05  1.0299682617e-03
              167  1.2156644008e-05  1.0230541229e-03
              168  1.1352276732e-05  9.9301338196e-04
              169  6.4427517065e-06  1.0130405426e-03
 # Orthogonalising Cholesky vectors.
 # Time to orthogonalise: 0.003067
 # Total number of non-zero elements in sparse cholesky ERI tensor: 132496
 # Sparsity of ERI Cholesky tensor: 0.000000
 # Total memory required for ERI tensor: 7.89737701e-03 GB
